"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Auth","0","Forgot Password","1","0","AUTH-21: Reset password - password is too short","0"
"0","Auth","0","Token","1","0","AUTH-06: Refresh token empty","0"
"0","Auth","0","Forgot Password","1","0","AUTH-16: Forgot password - email empty","0"
"0","Auth","0","Profile","1","0","AUTH-10: Get profile without token","0"
"0","Auth","0","Token","1","0","AUTH-07: Logout valid","0"
"0","Auth","0","Login","1","0","AUTH-01: Login Invalid","0"
"0","Auth","0","Forgot Password","1","0","AUTH-18: Forgot password - email not registered","0"
"0","Auth","0","Profile","1","0","AUTH-11: Update profile valid","0"
"0","Auth","0","Forgot Password","1","0","AUTH-17: Forgot password - email invalid format","0"
"0","Auth","0","Token","1","0","AUTH-08: Access endpoint after logout","0"
"0","Auth","0","Login","1","0","AUTH-03: Admin Login Successfully","0"
"0","Auth","0","Profile","1","0","AUTH-12: Update profile invalid","0"
"0","Auth","0","Login","1","0","AUTH-04: Cashier Login Successfully","0"
"0","Auth","0","Profile","1","0","AUTH-14: Change password - confirmation not match","0"
"0","Auth","0","Login","1","0","AUTH-02: Login with Empty Credential","0"
"0","Auth","0","Token","1","0","AUTH-05: Refresh token valid","0"
"0","Auth","0","Profile","1","0","AUTH-13: Change password - old password wrong","0"
"0","Auth","0","Forgot Password","1","0","AUTH-20: Reset password - token empty","0"
"0","Auth","1","Forgot Password","0","0","AUTH-15: Forgot password - email valid","0"
"0","Auth","0","Forgot Password","1","0","AUTH-19: Reset password - token invalid","0"
"0","Auth","0","Profile","1","0","AUTH-09: Get profile valid","0"
